imd_decile,mean_townsend
1,5.235449363852923
2,3.7233594971875763
3,2.511560669075495
4,1.0193328219902558
5,-0.18558233360304416
6,-1.0273360789065165
7,-1.9283764231498173
8,-2.534885242917504
9,-3.10663987533648
10,-3.8913252586042617
